國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
96年 1月,2681270,11702,3429,545,9124,52111,37869,142688,3976,5686,7681,113599,7610,17512,23501,450095,1362621,195252,100656,135611
96年 2月,2232030,9515,2315,539,8001,47103,27403,117853,3352,4423,6988,100421,5418,12924,25027,343157,1167354,153055,87944,109237
96年 3月,2450723,9163,3717,842,9001,38812,43414,135370,2564,4130,9887,104446,4384,16831,19882,354356,1328526,170303,83593,111502
96年 4月,2637297,12660,3304,781,15567,49005,47808,150793,3255,5600,12723,105812,4904,17002,13132,413014,1391584,178217,84241,127895
96年 5月,2673696,13599,5836,794,12198,28106,44748,161128,3236,6725,13910,108741,5869,16682,27678,434809,1386854,185671,88012,129101
96年 6月,2703724,15048,3854,501,10486,173246,41838,138511,3216,5415,11059,106729,5967,17900,8584,440917,1332172,194744,78415,115119
96年 7月,2934215,16240,5111,535,11695,95418,51905,157157,3712,6337,13286,130190,8377,19426,34439,446296,1482793,219382,95485,136432
96年 8月,2653044,13620,3455,538,9200,72900,43266,132573,2948,5733,9753,112411,8171,17517,15931,409733,1394952,184495,89071,126777
96年 9月,2637997,10706,4198,820,8976,85241,45637,133602,4004,6028,8879,113802,7391,16800,35961,335782,1418394,194483,88763,118530
96年 10月,2905655,17939,3781,976,10787,13003,56438,143465,3673,6434,9378,110236,6183,18329,25253,354373,1671013,219673,95981,138739
