"期間","排名","國家","出口總值(新臺幣千元)","百分比","備註"
"108年12月","11","菲律賓","13718472","1.53",
"108年12月","12","泰國","13270985","1.48",
"108年12月","13","英國","10398129","1.16",
"108年12月","14","墨西哥","8992285","1",
"108年12月","15","印度","7791559","0.87",
"108年12月","16","印尼","7553785","0.84",
"108年12月","17","澳大利亞","7072846","0.79",
"108年12月","18","加拿大","5425363","0.6",
"108年12月","19","其他國家","5419658","0.6",
"108年12月","20","義大利","5392954","0.6",
"108年12月","21","比利時","4218255","0.47",
"108年12月","22","法國","3778496","0.42",
"108年12月","23","俄羅斯","3272832","0.36",
"108年12月","24","阿拉伯聯合大公國","3248257","0.36",
"108年12月","25","西班牙","3096802","0.35",
"108年12月","26","土耳其","2930486","0.33",
"108年12月","27","巴西","2839827","0.32",
"108年12月","28","沙烏地阿拉伯","2651704","0.3",
"108年12月","29","孟加拉","2468160","0.28",
"108年12月","30","波蘭","2462680","0.27",
"108年11月","1","中國大陸","267833528","30.77",
"108年11月","2","美國","123479171","14.19",
"108年11月","3","香港","108373193","12.45",
"108年11月","4","日本","62203893","7.15",
"108年11月","5","新加坡","46149992","5.3",
"108年11月","6","南韓","44921447","5.16",
"108年11月","7","越南","25811047","2.97",
"108年11月","8","馬來西亞","22573237","2.59",
"108年11月","9","荷蘭","14402876","1.65",
"108年11月","10","菲律賓","14285205","1.64",
"108年11月","11","德國","13573967","1.56",
"108年11月","12","泰國","13379144","1.54",
"108年11月","13","英國","8529809","0.98",
"108年11月","14","墨西哥","8357768","0.96",
"108年11月","15","印尼","8026594","0.92",
"108年11月","16","澳大利亞","6891843","0.79",
"108年11月","17","印度","6840805","0.79",
"108年11月","18","加拿大","5545643","0.64",
"108年11月","19","其他國家","4077028","0.47",
"108年11月","20","義大利","3775419","0.43",
"108年11月","21","比利時","3298086","0.38",
"108年11月","22","法國","2987731","0.34",
"108年11月","23","俄羅斯","2973208","0.34",
"108年11月","24","孟加拉","2919908","0.34",
"108年11月","25","巴西","2803683","0.32",
"108年11月","26","阿拉伯聯合大公國","2792489","0.32",
"108年11月","27","沙烏地阿拉伯","2685445","0.31",
"108年11月","28","土耳其","2466318","0.28",
"108年11月","29","西班牙","2436863","0.28",
"108年11月","30","以色列","2112629","0.24",
"108年10月","1","中國大陸","268605619","30.02",
"108年10月","2","美國","122438759","13.68",
"108年10月","3","香港","106415704","11.89",
"108年10月","4","日本","63542527","7.1",
"108年10月","5","新加坡","50544908","5.65",
"108年10月","6","南韓","42376205","4.74",
"108年10月","7","越南","28629736","3.2",
"108年10月","8","馬來西亞","25915104","2.9",
"108年10月","9","德國","16508074","1.85",
"108年10月","10","菲律賓","16357677","1.83",
"108年10月","11","荷蘭","14195319","1.59",
"108年10月","12","泰國","14193028","1.59",
"108年10月","13","澳大利亞","10991989","1.23",
"108年10月","14","英國","9085849","1.02",
"108年10月","15","墨西哥","8392913","0.94",
"108年10月","16","印尼","7352784","0.82",
"108年10月","17","印度","7025081","0.79",
"108年10月","18","加拿大","5508333","0.62",
"108年10月","19","義大利","5010781","0.56",
"108年10月","20","其他國家","3820201","0.43",
"108年10月","21","孟加拉","3605435","0.4",
"108年10月","22","比利時","3447659","0.39",
"108年10月","23","法國","3325393","0.37",
"108年10月","24","西班牙","3267968","0.37",
"108年10月","25","阿拉伯聯合大公國","3076255","0.34",
"108年10月","26","土耳其","2921911","0.33",
"108年10月","27","巴西","2803875","0.31",
"108年10月","28","俄羅斯","2754156","0.31",
"108年10月","29","波蘭","2352746","0.26",
"108年10月","30","沙烏地阿拉伯","2320937","0.26",
"108年9月","1","中國大陸","253576626","28.91",
"108年9月","2","美國","122289587","13.94",
"108年9月","3","香港","109078029","12.44",
"108年9月","4","日本","64294719","7.33",
"108年9月","5","新加坡","54443782","6.21",
"108年9月","6","南韓","36799978","4.2",
"108年9月","7","越南","29020562","3.31",
"108年9月","8","馬來西亞","21553539","2.46",
"108年9月","9","菲律賓","19593053","2.23",
"108年9月","10","德國","15832542","1.81",
"108年9月","11","荷蘭","15227060","1.74",
"108年9月","12","泰國","14191785","1.62",
"108年9月","13","英國","8943809","1.02",
"108年9月","14","印度","8741378","1",
"108年9月","15","印尼","7864634","0.9",
"108年9月","16","墨西哥","7589544","0.87",
"108年9月","17","澳大利亞","7508737","0.86",
"108年9月","18","加拿大","5701949","0.65",
"108年9月","19","義大利","4918648","0.56",
"108年9月","20","其他國家","3871709","0.44",
"108年9月","21","法國","3456193","0.39",
"108年9月","22","比利時","3443025","0.39",
"108年9月","23","孟加拉","3157064","0.36",
"108年9月","24","俄羅斯","3120915","0.36",
"108年9月","25","西班牙","2922173","0.33",
"108年9月","26","阿拉伯聯合大公國","2864458","0.33",
"108年9月","27","巴西","2647450","0.3",
"108年9月","28","沙烏地阿拉伯","2540376","0.29",
"108年9月","29","土耳其","2502615","0.29",
"108年9月","30","波蘭","2228874","0.25",
"108年8月","1","中國大陸","251646612","27.89",
"108年8月","2","美國","127951161","14.18",
"108年8月","3","香港","117192301","12.99",
"108年8月","4","日本","61697172","6.84",
"108年8月","5","新加坡","49469873","5.48",
"108年8月","6","南韓","42414630","4.7",
"108年8月","7","越南","29999044","3.33",
"108年8月","8","馬來西亞","27786731","3.08",
"108年8月","9","菲律賓","17467805","1.94",
"108年8月","10","荷蘭","16996294","1.88",
"108年8月","11","德國","16386177","1.82",
"108年8月","12","泰國","13569441","1.5",
"108年8月","13","英國","10163921","1.13",
"108年8月","14","印度","9559797","1.06",
"108年8月","15","澳大利亞","9473561","1.05",
"108年8月","16","墨西哥","8405325","0.93",
"108年8月","17","印尼","8267807","0.92",
"108年8月","18","加拿大","6167188","0.68",
"108年8月","19","義大利","4573508","0.51",
"108年8月","20","其他國家","4033025","0.45",
"108年8月","21","比利時","3902107","0.43",
"108年8月","22","西班牙","3753582","0.42",
"108年8月","23","法國","3677636","0.41",
"108年8月","24","巴西","3440776","0.38",
"108年8月","25","俄羅斯","3110872","0.34",
"108年8月","26","阿拉伯聯合大公國","2842471","0.32",
"108年8月","27","孟加拉","2593482","0.29",
"108年8月","28","波蘭","2480498","0.27",
"108年8月","29","沙烏地阿拉伯","2356616","0.26",
"108年8月","30","土耳其","2313017","0.26",
"108年7月","1","中國大陸","239406640","27.43",
"108年7月","2","美國","125601214","14.39",
"108年7月","3","香港","107373858","12.3",
"108年7月","4","日本","57347076","6.57",
"108年7月","5","新加坡","50666736","5.8",
"108年7月","6","南韓","44598662","5.11",
"108年7月","7","越南","27002412","3.09",
"108年7月","8","馬來西亞","25710668","2.95",
"108年7月","9","菲律賓","17945743","2.06",
"108年7月","10","德國","17365257","1.99",
"108年7月","11","泰國","15577864","1.78",
"108年7月","12","荷蘭","15294287","1.75",
"108年7月","13","英國","9520343","1.09",
"108年7月","14","墨西哥","8887909","1.02",
"108年7月","15","印度","8524442","0.98",
"108年7月","16","印尼","7628088","0.87",
"108年7月","17","澳大利亞","7565352","0.87",
"108年7月","18","加拿大","6690516","0.77",
"108年7月","19","阿拉伯聯合大公國","4888784","0.56",
"108年7月","20","義大利","4569619","0.52",
"108年7月","21","其他國家","4302289","0.49",
"108年7月","22","法國","3985393","0.46",
"108年7月","23","比利時","3891065","0.45",
"108年7月","24","巴西","3386373","0.39",
"108年7月","25","俄羅斯","3105439","0.36",
"108年7月","26","孟加拉","2933690","0.34",
"108年7月","27","西班牙","2929122","0.34",
"108年7月","28","土耳其","2567034","0.29",
"108年7月","29","巴基斯坦","2536450","0.29",
"108年7月","30","沙烏地阿拉伯","2468336","0.28",
"108年6月","1","中國大陸","235351275","26.51",
"108年6月","2","美國","122481312","13.8",
"108年6月","3","香港","110862880","12.49",
"108年6月","4","日本","64857155","7.31",
"108年6月","5","新加坡","50846300","5.73",
"108年6月","6","南韓","50605818","5.7",
"108年6月","7","越南","29058317","3.27",
"108年6月","8","馬來西亞","25924226","2.92",
"108年6月","9","德國","16438385","1.85",
"108年6月","10","荷蘭","16154074","1.82",
"108年6月","11","菲律賓","15516660","1.75",
"108年6月","12","泰國","14340211","1.62",
"108年6月","13","印度","9986246","1.12",
"108年6月","14","英國","9476168","1.07",
"108年6月","15","印尼","8998176","1.01",
"108年6月","16","澳大利亞","8974105","1.01",
"108年6月","17","加拿大","6248660","0.7",
"108年6月","18","墨西哥","5966414","0.67",
"108年6月","19","阿拉伯聯合大公國","5906393","0.67",
"108年6月","20","義大利","5906315","0.67",
"108年6月","21","法國","4107402","0.46",
"108年6月","22","比利時","3944339","0.44",
"108年6月","23","其他國家","3758209","0.42",
"108年6月","24","巴西","3488705","0.39",
"108年6月","25","西班牙","3277707","0.37",
"108年6月","26","俄羅斯","3097014","0.35",
"108年6月","27","孟加拉","3054378","0.34",
"108年6月","28","沙烏地阿拉伯","2971244","0.33",
"108年6月","29","土耳其","2960852","0.33",
"108年6月","30","波蘭","2506281","0.28",
"108年5月","1","中國大陸","231207087","27.11",
"108年5月","2","美國","121053126","14.19",
"108年5月","3","香港","108855472","12.76",
"108年5月","4","日本","58308519","6.84",
"108年5月","5","新加坡","51892920","6.08",
"108年5月","6","南韓","37032571","4.34",
"108年5月","7","越南","27652287","3.24",
"108年5月","8","馬來西亞","24343452","2.85",
"108年5月","9","菲律賓","17486578","2.05",
"108年5月","10","德國","17263729","2.02",
"108年5月","11","泰國","14729092","1.73",
"108年5月","12","荷蘭","14534273","1.7",
"108年5月","13","英國","9017071","1.06",
"108年5月","14","澳大利亞","8832582","1.04",
"108年5月","15","印度","8773247","1.03",
"108年5月","16","墨西哥","6577222","0.77",
"108年5月","17","義大利","6016500","0.71",
"108年5月","18","加拿大","5799793","0.68",
"108年5月","19","印尼","5096471","0.6",
"108年5月","20","阿拉伯聯合大公國","4644565","0.54",
"108年5月","21","法國","4018986","0.47",
"108年5月","22","孟加拉","3830572","0.45",
"108年5月","23","比利時","3660223","0.43",
"108年5月","24","其他國家","3609817","0.42",
"108年5月","25","巴西","3412059","0.4",
"108年5月","26","西班牙","3206704","0.38",
"108年5月","27","土耳其","3163028","0.37",
"108年5月","28","奈及利亞","2910859","0.34",
"108年5月","29","俄羅斯","2827830","0.33",
"108年5月","30","沙烏地阿拉伯","2681062","0.31",
"108年4月","1","中國大陸","209156834","26.54",
"108年4月","2","美國","110977647","14.08",
"108年4月","3","香港","93946139","11.92",
"108年4月","4","日本","51628730","6.55",
"108年4月","5","南韓","46900544","5.95",
"108年4月","6","新加坡","43650398","5.54",
"108年4月","7","越南","30140409","3.82",
"108年4月","8","馬來西亞","23663840","3",
"108年4月","9","德國","17653856","2.24",
"108年4月","10","荷蘭","14152726","1.8",
"108年4月","11","泰國","13500339","1.71",
"108年4月","12","菲律賓","12851795","1.63",
"108年4月","13","英國","8322911","1.06",
"108年4月","14","印度","8147296","1.03",
"108年4月","15","印尼","7946256","1.01",
"108年4月","16","澳大利亞","7810701","0.99",
"108年4月","17","加拿大","7089526","0.9",
"108年4月","18","墨西哥","6240346","0.79",
"108年4月","19","義大利","4968640","0.63",
"108年4月","20","阿拉伯聯合大公國","4577141","0.58",
"108年4月","21","法國","4145834","0.53",
"108年4月","22","其他國家","3978610","0.5",
"108年4月","23","西班牙","3879254","0.49",
"108年4月","24","比利時","3112363","0.39",
"108年4月","25","孟加拉","2871931","0.36",
"108年4月","26","巴西","2783295","0.35",
"108年4月","27","俄羅斯","2626227","0.33",
"108年4月","28","土耳其","2343000","0.3",
"108年4月","29","波蘭","2278553","0.29",
"108年4月","30","以色列","2113653","0.27",
"108年3月","1","中國大陸","241961913","27.58",
"108年3月","2","美國","120490941","13.73",
"108年3月","3","香港","108007113","12.31",
"108年3月","4","日本","63488648","7.24",
"108年3月","5","南韓","47844900","5.45",
"108年3月","6","新加坡","41292385","4.71",
"108年3月","7","越南","32775888","3.74",
"108年3月","8","馬來西亞","24356784","2.78",
"108年3月","9","德國","18791319","2.14",
"108年3月","10","荷蘭","16019997","1.83",
"108年3月","11","泰國","15443302","1.76",
"108年3月","12","菲律賓","14481343","1.65",
"108年3月","13","印度","10133600","1.15",
"108年3月","14","英國","9692655","1.1",
"108年3月","15","澳大利亞","9352509","1.07",
"108年3月","16","印尼","8367926","0.95",
"108年3月","17","加拿大","7027579","0.8",
"108年3月","18","墨西哥","6992719","0.8",
"108年3月","19","義大利","6120877","0.7",
"108年3月","20","法國","5162137","0.59",
"108年3月","21","比利時","4064948","0.46",
"108年3月","22","其他國家","3714700","0.42",
"108年3月","23","孟加拉","3559865","0.41",
"108年3月","24","阿拉伯聯合大公國","3206590","0.37",
"108年3月","25","巴西","3128530","0.36",
"108年3月","26","土耳其","2988466","0.34",
"108年3月","27","俄羅斯","2876250","0.33",
"108年3月","28","西班牙","2870165","0.33",
"108年3月","29","波蘭","2481855","0.28",
"108年3月","30","沙烏地阿拉伯","2390474","0.27",
"108年2月","1","中國大陸","162761928","26.01",
"108年2月","2","美國","88915972","14.21",
"108年2月","3","香港","66882651","10.69",
"108年2月","4","日本","47310777","7.56",
"108年2月","5","新加坡","36456478","5.83",
"108年2月","6","南韓","31837630","5.09",
"108年2月","7","馬來西亞","20945490","3.35",
"108年2月","8","越南","20128250","3.22",
"108年2月","9","菲律賓","15316878","2.45",
"108年2月","10","德國","14628352","2.34",
"108年2月","11","泰國","12134904","1.94",
"108年2月","12","荷蘭","11923086","1.91",
"108年2月","13","英國","7578608","1.21",
"108年2月","14","印度","7050697","1.13",
"108年2月","15","澳大利亞","6794051","1.09",
"108年2月","16","印尼","5351336","0.86",
"108年2月","17","加拿大","4855686","0.78",
"108年2月","18","墨西哥","4458163","0.71",
"108年2月","19","義大利","3982940","0.64",
"108年2月","20","比利時","3005579","0.48",
"108年2月","21","法國","2887943","0.46",
"108年2月","22","阿拉伯聯合大公國","2824407","0.45",
"108年2月","23","其他國家","2802857","0.45",
"108年2月","24","巴西","2516808","0.4",
"108年2月","25","孟加拉","2454500","0.39",
"108年2月","26","西班牙","2423993","0.39",
"108年2月","27","俄羅斯","2035674","0.33",
"108年2月","28","土耳其","2030043","0.32",
"108年2月","29","以色列","1879247","0.3",
"108年2月","30","波蘭","1671763","0.27",
"108年1月","1","中國大陸","219755971","26.3",
"108年1月","2","美國","116893048","13.99",
"108年1月","3","香港","96498977","11.55",
"108年1月","4","日本","65629866","7.85",
"108年1月","5","南韓","46994338","5.62",
"108年1月","6","新加坡","40485029","4.84",
"108年1月","7","越南","24978435","2.99",
"108年1月","8","馬來西亞","24422260","2.92",
"108年1月","9","德國","19856208","2.38",
"108年1月","10","泰國","16355930","1.96",
"108年1月","11","菲律賓","15527441","1.86",
"108年1月","12","荷蘭","15478690","1.85",
"108年1月","13","英國","9884636","1.18",
"108年1月","14","印度","9011249","1.08",
"108年1月","15","澳大利亞","8894681","1.06",
"108年1月","16","印尼","7943411","0.95",
"108年1月","17","加拿大","7594981","0.91",
"108年1月","18","墨西哥","7128941","0.85",
"108年1月","19","義大利","5980333","0.72",
"108年1月","20","阿拉伯聯合大公國","5811821","0.7",
"108年1月","21","法國","5528582","0.66",
"108年1月","22","其他國家","4142558","0.5",
"108年1月","23","比利時","3487140","0.42",
"108年1月","24","巴西","3190091","0.38",
"108年1月","25","西班牙","2896371","0.35",
"108年1月","26","俄羅斯","2831776","0.34",
"108年1月","27","孟加拉","2676334","0.32",
"108年1月","28","波蘭","2672283","0.32",
"108年1月","29","土耳其","2412141","0.29",
"108年1月","30","以色列","2201713","0.26",
"107年1-12月","1","中國大陸","2909694612","28.89",
"107年1-12月","2","香港","1247590012","12.39",
"107年1-12月","3","美國","1191356680","11.83",
"107年1-12月","4","日本","687336885","6.82",
"107年1-12月","5","新加坡","522650383","5.19",
"107年1-12月","6","南韓","475101928","4.71",
"107年1-12月","7","越南","324799291","3.22",
"107年1-12月","8","馬來西亞","319472497","3.17",
"107年1-12月","9","菲律賓","268646908","2.66",
"107年1-12月","10","德國","212713846","2.11",
"107年1-12月","11","泰國","185829634","1.84",
"107年1-12月","12","荷蘭","176484537","1.75",
"107年1-12月","13","英國","116335406","1.15",
"107年1-12月","14","印度","113549185","1.12",
"107年1-12月","15","澳大利亞","102469357","1.01",
"107年1-12月","16","印尼","100300207","0.99",
"107年1-12月","17","加拿大","76512819","0.75",
"107年1-12月","18","墨西哥","74922286","0.74",
"107年1-12月","19","義大利","70044217","0.69",
"107年1-12月","20","法國","50222752","0.49",
"107年1-12月","21","比利時","45154672","0.44",
"107年1-12月","22","其他國家","44723641","0.44",
"107年1-12月","23","巴西","40421757","0.4",
"107年1-12月","24","土耳其","39909427","0.39",
"107年1-12月","25","西班牙","37623428","0.37",
"107年1-12月","26","阿拉伯聯合大公國","37570212","0.37",
"107年1-12月","27","孟加拉","34372813","0.34",
"107年1-12月","28","俄羅斯","33644923","0.33",
"107年1-12月","29","波蘭","29915258","0.29",
"107年1-12月","30","以色列","24905092","0.24",
"107年12月","1","中國大陸","257011400","29.36",
"107年12月","2","美國","114678140","13.1",
"107年12月","3","香港","98365440","11.23",
"107年12月","4","日本","57494750","6.56",
"107年12月","5","新加坡","45579103","5.2",
"107年12月","6","南韓","44483702","5.08",
"107年12月","7","越南","29384260","3.35",
"107年12月","8","馬來西亞","26983988","3.08",
"107年12月","9","德國","19739336","2.25",
"107年12月","10","荷蘭","16366195","1.87",
"107年12月","11","泰國","14687022","1.67",
"107年12月","12","菲律賓","14173840","1.61",
"107年12月","13","英國","11209023","1.28",
"107年12月","14","澳大利亞","10594715","1.21",
"107年12月","15","印度","9271130","1.05",
"107年12月","16","印尼","8414442","0.96",
"107年12月","17","加拿大","6594006","0.75",
"107年12月","18","墨西哥","6575259","0.75",
"107年12月","19","義大利","6423736","0.73",
"107年12月","20","法國","5404527","0.61",
"107年12月","21","其他國家","4201387","0.48",
"107年12月","22","孟加拉","4053644","0.46",
"107年12月","23","比利時","3917501","0.44",
"107年12月","24","巴西","3676281","0.42",
"107年12月","25","俄羅斯","3025374","0.34",
"107年12月","26","阿拉伯聯合大公國","2872378","0.32",
"107年12月","27","波蘭","2736049","0.31",
"107年12月","28","西班牙","2685830","0.3",
"107年12月","29","土耳其","2655729","0.3",
"107年12月","30","以色列","2475763","0.28",
"107年11月","1","中國大陸","253902008","29.71",
"107年11月","2","美國","106995389","12.52",
"107年11月","3","香港","98936870","11.58",
"107年11月","4","日本","59921688","7.01",
"107年11月","5","新加坡","50338365","5.89",
"107年11月","6","南韓","42751882","5",
"107年11月","7","越南","27035557","3.16",
"107年11月","8","馬來西亞","25182531","2.94",
"107年11月","9","菲律賓","20490707","2.39",
"107年11月","10","泰國","15767196","1.84",
"107年11月","11","德國","15752805","1.84",
"107年11月","12","荷蘭","13358300","1.56",
"107年11月","13","印尼","9362800","1.09",
"107年11月","14","英國","9337503","1.09",
"107年11月","15","印度","8968029","1.04",
"107年11月","16","澳大利亞","8682191","1.01",
"107年11月","17","加拿大","6592621","0.77",
"107年11月","18","墨西哥","6334185","0.74",
"107年11月","19","義大利","4160256","0.48",
"107年11月","20","其他國家","4092906","0.47",
"107年11月","21","巴基斯坦","3850842","0.45",
"107年11月","22","法國","3573344","0.41",
"107年11月","23","比利時","3113471","0.36",
"107年11月","24","巴西","2987763","0.34",
"107年11月","25","以色列","2838246","0.33",
"107年11月","26","孟加拉","2816741","0.32",
"107年11月","27","俄羅斯","2799918","0.32",
"107年11月","28","西班牙","2769627","0.32",
"107年11月","29","阿拉伯聯合大公國","2564636","0.3",
"107年11月","30","土耳其","2384435","0.27",
"107年10月","1","中國大陸","277690579","30.63",
"107年10月","2","香港","108655098","11.98",
"107年10月","3","美國","103581801","11.42",
"107年10月","4","日本","62537469","6.9",
"107年10月","5","新加坡","49564297","5.46",
"107年10月","6","南韓","44947693","4.95",
"107年10月","7","越南","29979836","3.3",
"107年10月","8","馬來西亞","28172635","3.1",
"107年10月","9","菲律賓","21833791","2.4",
"107年10月","10","德國","18253403","2.01",
"107年10月","11","泰國","17373874","1.91",
"107年10月","12","荷蘭","15663212","1.72",
"107年10月","13","英國","9711067","1.07",
"107年10月","14","印度","9258184","1.02",
"107年10月","15","印尼","9240986","1.01",
"107年10月","16","澳大利亞","8062575","0.88",
"107年10月","17","墨西哥","7432933","0.82",
"107年10月","18","加拿大","6790279","0.74",
"107年10月","19","義大利","5566781","0.61",
"107年10月","20","法國","4013556","0.44",
"107年10月","21","其他國家","3951225","0.43",
"107年10月","22","比利時","3925459","0.43",
"107年10月","23","西班牙","3348356","0.36",
"107年10月","24","孟加拉","3176908","0.35",
"107年10月","25","巴西","3006827","0.33",
"107年10月","26","俄羅斯","2910504","0.32",
"107年10月","27","阿拉伯聯合大公國","2653387","0.29",
"107年10月","28","波蘭","2475347","0.27",
"107年10月","29","土耳其","2438223","0.26",
"107年10月","30","巴基斯坦","1977870","0.21",
"107年9月","1","中國大陸","267392561","29.48",
"107年9月","2","美國","111076494","12.24",
"107年9月","3","香港","110998259","12.24",
"107年9月","4","日本","62451664","6.88",
"107年9月","5","南韓","44684681","4.92",
"107年9月","6","新加坡","44360208","4.89",
"107年9月","7","越南","29728963","3.27",
"107年9月","8","馬來西亞","27724287","3.05",
"107年9月","9","菲律賓","18792634","2.07",
"107年9月","10","德國","18752783","2.06",
"107年9月","11","泰國","16214436","1.78",
"107年9月","12","荷蘭","15780249","1.74",
"107年9月","13","澳大利亞","11729530","1.29",
"107年9月","14","英國","10936280","1.2",
"107年9月","15","印度","9528058","1.05",
"107年9月","16","印尼","8479447","0.93",
"107年9月","17","加拿大","6617809","0.72",
"107年9月","18","墨西哥","6543862","0.72",
"107年9月","19","義大利","6226638","0.68",
"107年9月","20","法國","4731048","0.52",
"107年9月","21","西班牙","4467659","0.49",
"107年9月","22","其他國家","4132781","0.45",
"107年9月","23","巴西","3533316","0.38",
"107年9月","24","比利時","3452465","0.38",
"107年9月","25","俄羅斯","3073206","0.33",
"107年9月","26","波蘭","2792748","0.3",
"107年9月","27","阿拉伯聯合大公國","2748955","0.3",
"107年9月","28","孟加拉","2630940","0.29",
"107年9月","29","土耳其","2478541","0.27",
"107年9月","30","阿曼","2304791","0.25",
"107年8月","1","中國大陸","245134850","28.47",
"107年8月","2","香港","113156783","13.14",
"107年8月","3","美國","101833682","11.82",
"107年8月","4","日本","54817062","6.36",
"107年8月","5","南韓","44932802","5.21",
"107年8月","6","新加坡","43082815","5",
"107年8月","7","馬來西亞","27769265","3.22",
"107年8月","8","越南","27506589","3.19",
"107年8月","9","菲律賓","21834165","2.53",
"107年8月","10","德國","18732559","2.17",
"107年8月","11","荷蘭","15401029","1.78",
"107年8月","12","泰國","15280819","1.77",
"107年8月","13","英國","10030122","1.16",
"107年8月","14","印度","9059262","1.05",
"107年8月","15","澳大利亞","7866249","0.91",
"107年8月","16","墨西哥","7498020","0.87",
"107年8月","17","印尼","7198645","0.83",
"107年8月","18","加拿大","6660823","0.77",
"107年8月","19","義大利","6221309","0.72",
"107年8月","20","阿拉伯聯合大公國","4420912","0.51",
"107年8月","21","其他國家","4028404","0.46",
"107年8月","22","法國","3859581","0.44",
"107年8月","23","比利時","3439319","0.39",
"107年8月","24","巴西","3367948","0.39",
"107年8月","25","土耳其","3277641","0.38",
"107年8月","26","俄羅斯","2878254","0.33",
"107年8月","27","波蘭","2645030","0.3",
"107年8月","28","孟加拉","2541059","0.29",
"107年8月","29","西班牙","2507286","0.29",
"107年8月","30","阿曼","2049616","0.23",
"107年7月","1","中國大陸","241821957","28.1",
"107年7月","2","香港","109842278","12.76",
"107年7月","3","美國","101212978","11.76",
"107年7月","4","日本","61593185","7.15",
"107年7月","5","新加坡","46369435","5.38",
"107年7月","6","南韓","44022671","5.11",
"107年7月","7","馬來西亞","29211494","3.39",
"107年7月","8","越南","27218775","3.16",
"107年7月","9","菲律賓","22715250","2.64",
"107年7月","10","德國","18504771","2.15",
"107年7月","11","泰國","15680216","1.82",
"107年7月","12","荷蘭","13986704","1.62",
"107年7月","13","英國","10368632","1.2",
"107年7月","14","印度","10364661","1.2",
"107年7月","15","澳大利亞","8779022","1.02",
"107年7月","16","印尼","8674269","1",
"107年7月","17","加拿大","6408079","0.74",
"107年7月","18","墨西哥","6388917","0.74",
"107年7月","19","義大利","4760312","0.55",
"107年7月","20","法國","4093151","0.47",
"107年7月","21","比利時","4002695","0.46",
"107年7月","22","其他國家","3983906","0.46",
"107年7月","23","巴西","3628178","0.42",
"107年7月","24","西班牙","3096651","0.35",
"107年7月","25","土耳其","2946694","0.34",
"107年7月","26","俄羅斯","2794251","0.32",
"107年7月","27","阿拉伯聯合大公國","2727350","0.31",
"107年7月","28","波蘭","2468930","0.28",
"107年7月","29","孟加拉","2309875","0.26",
"107年7月","30","以色列","2100934","0.24",
"107年6月","1","中國大陸","232799883","27.68",
"107年6月","2","香港","110063293","13.09",
"107年6月","3","美國","97562998","11.6",
"107年6月","4","日本","61026116","7.25",
"107年6月","5","新加坡","49460843","5.88",
"107年6月","6","南韓","31901790","3.79",
"107年6月","7","越南","26768093","3.18",
"107年6月","8","菲律賓","25151431","2.99",
"107年6月","9","馬來西亞","24827242","2.95",
"107年6月","10","德國","18431357","2.19",
"107年6月","11","荷蘭","16935784","2.01",
"107年6月","12","泰國","14972073","1.78",
"107年6月","13","印度","10772554","1.28",
"107年6月","14","英國","9748903","1.15",
"107年6月","15","澳大利亞","8046793","0.95",
"107年6月","16","印尼","7372059","0.87",
"107年6月","17","義大利","6436412","0.76",
"107年6月","18","墨西哥","6216674","0.73",
"107年6月","19","加拿大","5826964","0.69",
"107年6月","20","比利時","4248151","0.5",
"107年6月","21","法國","4011776","0.47",
"107年6月","22","其他國家","3767992","0.44",
"107年6月","23","土耳其","3739618","0.44",
"107年6月","24","西班牙","3726581","0.44",
"107年6月","25","巴西","3534471","0.42",
"107年6月","26","俄羅斯","2891126","0.34",
"107年6月","27","孟加拉","2774882","0.33",
"107年6月","28","阿拉伯聯合大公國","2586346","0.3",
"107年6月","29","波蘭","2404213","0.28",
"107年6月","30","沙烏地阿拉伯","2068128","0.24",
"107年5月","1","中國大陸","240383075","27.92",
"107年5月","2","香港","111038816","12.89",
"107年5月","3","美國","107637185","12.5",
"107年5月","4","日本","55236977","6.41",
"107年5月","5","新加坡","43129400","5.01",
"107年5月","6","南韓","38344671","4.45",
"107年5月","7","越南","29621194","3.44",
"107年5月","8","馬來西亞","28147072","3.26",
"107年5月","9","菲律賓","23137288","2.68",
"107年5月","10","德國","18776584","2.18",
"107年5月","11","荷蘭","16016439","1.86",
"107年5月","12","泰國","15896324","1.84",
"107年5月","13","英國","10130993","1.17",
"107年5月","14","印度","8998157","1.04",
"107年5月","15","澳大利亞","8955314","1.04",
"107年5月","16","印尼","7837749","0.91",
"107年5月","17","加拿大","7464060","0.86",
"107年5月","18","義大利","6599827","0.76",
"107年5月","19","墨西哥","6361982","0.73",
"107年5月","20","法國","4181518","0.48",
"107年5月","21","土耳其","4095446","0.47",
"107年5月","22","比利時","4058011","0.47",
"107年5月","23","巴西","3732841","0.43",
"107年5月","24","其他國家","3471855","0.4",
"107年5月","25","阿拉伯聯合大公國","3084624","0.35",
"107年5月","26","西班牙","3072682","0.35",
"107年5月","27","孟加拉","2841404","0.33",
"107年5月","28","俄羅斯","2757271","0.32",
"107年5月","29","波蘭","2462546","0.28",
"107年5月","30","沙烏地阿拉伯","2259601","0.26",
"107年4月","1","中國大陸","212603540","27.42",
"107年4月","2","香港","103684747","13.37",
"107年4月","3","美國","86602413","11.17",
"107年4月","4","日本","52183110","6.73",
"107年4月","5","新加坡","38015074","4.9",
"107年4月","6","南韓","37854556","4.88",
"107年4月","7","越南","26300110","3.39",
"107年4月","8","馬來西亞","25760746","3.32",
"107年4月","9","菲律賓","23075491","2.97",
"107年4月","10","德國","16738143","2.15",
"107年4月","11","泰國","14900981","1.92",
